StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
52,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10
53,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10
54,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10
56,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10
58,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10
59,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10
60,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5
61,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10
62,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10
64,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10
65,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10
66,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10
67,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10
72,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10
73,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10
74,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10
77,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10
79,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10
81,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10
82,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5
86,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10
87,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10
88,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10
91,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5
92,male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10
93,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10
94,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10
95,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10
97,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10
98,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10
100,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10
101,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10
102,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10
104,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10
105,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5
106,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5
107,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10
108,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10
109,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10
110,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10
111,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10
112,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10
113,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5
116,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5
117,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10
120,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5
122,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5
123,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5
126,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10
128,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10
129,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5
131,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10
132,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10
133,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10
135,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10
136,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10
137,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5
138,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5
139,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10
140,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10
141,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5
144,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5
145,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10
148,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10
149,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10
150,female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10
151,male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10
152,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10
153,female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5
154,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10
155,male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10
156,female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10
157,female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10
158,male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10
159,male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5
160,female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10
161,female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
162,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5
163,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10
164,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5
166,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10
167,female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10
168,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5
169,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10
172,male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5
173,male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5
174,male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10
175,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5
176,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5
177,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
178,male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5
182,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5
187,female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5
188,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5
189,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
193,male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10
194,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10
195,female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5
197,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5
199,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10
200,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10
203,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5
205,male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5
207,female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10
208,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10
210,male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10
213,female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10
214,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10
216,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10
219,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
220,male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10
221,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10
222,male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10
223,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5
225,male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10
228,female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10
230,male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5
231,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5
233,female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10
234,female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5
236,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10
238,female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10
240,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10
241,female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10
242,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5
244,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10
245,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10
246,female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10
247,female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10
248,male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10
249,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5
251,female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10
252,female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10
254,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
256,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10
257,female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10
259,male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10
260,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5
262,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10
263,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10
265,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10
268,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10
269,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10
270,female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5
273,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10
274,male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5
275,male,group C,some high school,standard,completed,married,never,yes,1.0,private,5 - 10
277,male,group D,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10
278,male,group B,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10
283,male,group A,some college,free/reduced,completed,married,never,yes,2.0,private,< 5
285,female,group C,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10
286,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10
287,female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10
289,male,group E,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10
291,female,group B,associate's degree,free/reduced,none,married,regularly,no,3.0,private,> 10
293,female,group B,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10
294,male,group B,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,< 5
296,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,> 10
297,male,group C,high school,standard,none,married,regularly,no,3.0,private,5 - 10
298,female,group D,master's degree,standard,completed,widowed,never,yes,3.0,private,5 - 10
299,male,group C,associate's degree,standard,none,single,sometimes,no,1.0,school_bus,5 - 10
301,female,group D,associate's degree,free/reduced,none,single,regularly,no,1.0,school_bus,< 5
303,female,group E,high school,standard,none,married,never,no,3.0,private,> 10
304,female,group C,some college,standard,none,married,regularly,yes,2.0,private,< 5
305,female,group C,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10
307,female,group C,some college,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10
308,male,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10
309,male,group A,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10
310,male,group C,associate's degree,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10
311,female,group B,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5
314,male,group E,associate's degree,standard,completed,married,never,no,3.0,school_bus,> 10
315,male,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10
320,female,group B,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5
321,female,group D,some high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10
322,male,group C,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,> 10
325,male,group D,associate's degree,standard,completed,single,sometimes,yes,3.0,private,< 5
327,female,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10
330,male,group E,associate's degree,standard,none,divorced,regularly,yes,2.0,private,> 10
331,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10
333,female,group C,some college,standard,completed,married,sometimes,no,1.0,school_bus,< 5
334,female,group C,associate's degree,standard,none,married,regularly,no,1.0,private,< 5
336,female,group B,bachelor's degree,standard,none,single,regularly,no,3.0,school_bus,> 10
338,female,group C,some college,free/reduced,completed,married,sometimes,yes,1.0,private,< 5
339,female,group D,some college,standard,none,divorced,sometimes,no,1.0,private,< 5
340,female,group B,high school,standard,none,married,never,yes,1.0,school_bus,5 - 10
341,male,group B,some high school,standard,completed,single,regularly,yes,3.0,private,5 - 10
342,female,group C,some college,standard,none,single,regularly,no,2.0,private,5 - 10
343,female,group D,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5
344,male,group C,some college,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10
345,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2.0,private,> 10
348,female,group A,some high school,free/reduced,none,single,sometimes,yes,2.0,private,5 - 10
349,female,group D,some high school,standard,none,single,regularly,yes,5.0,school_bus,5 - 10
350,male,group E,some college,standard,none,married,regularly,yes,3.0,private,5 - 10
351,female,group C,some college,free/reduced,completed,single,sometimes,no,4.0,school_bus,5 - 10
352,male,group D,some high school,standard,none,single,sometimes,yes,0.0,private,> 10
353,female,group D,some college,standard,completed,married,sometimes,yes,1.0,private,> 10
355,female,group D,some high school,standard,none,single,sometimes,no,2.0,school_bus,> 10
357,female,group A,some high school,standard,none,single,sometimes,no,1.0,private,> 10
358,male,group A,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10
359,female,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10
360,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0.0,private,< 5
362,female,group E,some high school,free/reduced,none,divorced,regularly,yes,3.0,private,> 10
363,female,group A,some high school,free/reduced,none,divorced,never,no,5.0,private,5 - 10
364,female,group E,some college,standard,none,divorced,regularly,yes,2.0,private,5 - 10
365,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0.0,school_bus,< 5
367,female,group D,high school,standard,none,single,sometimes,yes,3.0,private,5 - 10
368,male,group D,master's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5
369,male,group E,some high school,free/reduced,completed,single,regularly,yes,0.0,private,5 - 10
370,female,group D,some college,standard,none,single,sometimes,no,3.0,private,< 5
371,male,group E,some college,standard,none,married,sometimes,yes,3.0,school_bus,> 10
372,male,group C,associate's degree,standard,completed,divorced,regularly,yes,4.0,private,> 10
374,female,group B,high school,free/reduced,none,married,never,no,5.0,school_bus,5 - 10
375,male,group B,some high school,standard,none,single,regularly,yes,0.0,school_bus,< 5
376,male,group D,some high school,standard,none,single,never,no,4.0,private,< 5
377,female,group C,some high school,standard,completed,married,regularly,yes,3.0,private,5 - 10
379,female,group A,some college,free/reduced,none,married,regularly,no,2.0,school_bus,> 10
380,female,group D,high school,standard,completed,single,sometimes,yes,4.0,private,5 - 10
381,female,group C,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10
383,male,group B,associate's degree,standard,completed,married,regularly,no,3.0,school_bus,> 10
385,female,group D,high school,free/reduced,completed,divorced,sometimes,no,2.0,school_bus,5 - 10
386,male,group D,associate's degree,standard,completed,widowed,never,no,5.0,school_bus,> 10
391,male,group E,high school,standard,none,single,regularly,no,3.0,private,5 - 10
392,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3.0,private,< 5
394,male,group D,some college,standard,none,married,regularly,no,4.0,private,5 - 10
395,male,group E,high school,free/reduced,completed,married,sometimes,no,3.0,private,5 - 10
397,female,group D,master's degree,free/reduced,completed,divorced,never,yes,0.0,private,> 10
401,male,group C,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10
402,male,group C,some high school,free/reduced,none,single,regularly,yes,0.0,private,5 - 10
404,male,group C,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,> 10
407,male,group C,high school,standard,none,single,never,yes,4.0,school_bus,< 5
411,male,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10
417,female,group A,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10
419,male,group A,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10
422,male,group C,high school,standard,completed,single,regularly,yes,2.0,school_bus,> 10
423,male,group B,high school,standard,none,widowed,regularly,yes,4.0,school_bus,5 - 10
425,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3.0,private,5 - 10
427,female,group C,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,> 10
428,male,group C,some college,free/reduced,none,married,never,yes,3.0,private,> 10
430,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10
431,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10
435,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1.0,private,< 5
436,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10
437,female,group E,some college,standard,none,divorced,never,no,1.0,private,5 - 10
438,female,group C,some college,free/reduced,none,widowed,sometimes,yes,4.0,school_bus,5 - 10
441,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10
442,male,group A,high school,free/reduced,completed,married,regularly,no,7.0,school_bus,> 10
443,female,group A,high school,free/reduced,completed,single,regularly,yes,3.0,private,5 - 10
445,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1.0,private,5 - 10
447,female,group C,associate's degree,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10
448,female,group D,some high school,standard,none,married,sometimes,no,5.0,private,> 10
451,male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10
453,female,group D,master's degree,standard,none,single,never,yes,1.0,private,5 - 10
454,male,group E,associate's degree,standard,none,single,sometimes,yes,4.0,school_bus,> 10
455,male,group B,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10
458,male,group A,high school,standard,none,divorced,sometimes,yes,2.0,private,5 - 10
459,female,group B,associate's degree,standard,none,single,regularly,no,3.0,school_bus,< 5
461,male,group D,some college,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10
463,male,group B,some high school,standard,completed,divorced,regularly,yes,1.0,school_bus,5 - 10
465,female,group A,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,< 5
467,female,group C,some college,standard,none,married,sometimes,no,1.0,school_bus,5 - 10
468,female,group C,bachelor's degree,standard,none,married,sometimes,yes,6.0,school_bus,< 5
469,female,group B,high school,standard,none,divorced,regularly,yes,2.0,school_bus,< 5
470,male,group D,high school,standard,completed,divorced,sometimes,yes,4.0,private,5 - 10
471,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,< 5
473,male,group E,some college,standard,none,married,sometimes,yes,3.0,school_bus,< 5
474,female,group D,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10
475,female,group B,associate's degree,standard,completed,married,sometimes,yes,0.0,private,< 5
477,female,group E,associate's degree,standard,completed,married,regularly,yes,3.0,school_bus,> 10
478,female,group D,master's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10
479,female,group B,some high school,standard,none,married,sometimes,yes,3.0,school_bus,< 5
480,male,group A,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10
482,female,group C,bachelor's degree,standard,none,married,regularly,no,1.0,private,5 - 10
485,male,group D,some high school,free/reduced,none,married,regularly,no,2.0,school_bus,< 5
486,female,group B,some high school,standard,completed,divorced,regularly,yes,3.0,private,5 - 10
487,female,group B,master's degree,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10
488,female,group C,some high school,standard,completed,married,sometimes,no,1.0,private,5 - 10
490,female,group E,some college,standard,completed,divorced,never,yes,1.0,school_bus,5 - 10
491,female,group D,some high school,standard,completed,single,regularly,no,1.0,school_bus,5 - 10
492,female,group B,high school,free/reduced,completed,married,sometimes,no,5.0,school_bus,5 - 10
494,female,group C,associate's degree,standard,none,single,sometimes,yes,4.0,private,5 - 10
499,male,group C,some high school,free/reduced,completed,single,sometimes,yes,4.0,school_bus,< 5
501,female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2.0,private,< 5
502,female,group C,associate's degree,standard,none,married,never,no,1.0,private,5 - 10
504,female,group C,some high school,standard,none,married,never,yes,2.0,private,5 - 10
505,male,group E,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5
506,female,group E,associate's degree,standard,completed,married,sometimes,no,4.0,school_bus,5 - 10
507,male,group B,high school,standard,completed,married,sometimes,no,1.0,school_bus,> 10
508,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,5.0,private,5 - 10
510,female,group D,high school,standard,none,married,never,yes,1.0,school_bus,5 - 10
512,male,group A,associate's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10
513,male,group C,high school,standard,completed,married,sometimes,no,1.0,private,5 - 10
516,female,group D,associate's degree,standard,none,single,regularly,no,2.0,private,> 10
518,male,group E,some high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10
519,female,group A,some high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10
520,male,group C,high school,standard,completed,divorced,regularly,yes,2.0,private,< 5
521,female,group C,high school,free/reduced,none,married,regularly,no,5.0,school_bus,< 5
522,male,group C,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5
524,male,group B,bachelor's degree,free/reduced,completed,married,regularly,no,2.0,private,5 - 10
526,male,group D,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10
527,male,group E,associate's degree,standard,none,divorced,regularly,yes,1.0,private,> 10
529,male,group C,master's degree,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10
530,female,group B,associate's degree,free/reduced,none,single,sometimes,no,2.0,school_bus,< 5
531,male,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,> 10
533,female,group C,some college,standard,none,single,regularly,yes,3.0,school_bus,> 10
534,male,group C,bachelor's degree,standard,completed,married,regularly,no,2.0,school_bus,< 5
537,male,group B,associate's degree,standard,none,divorced,sometimes,no,2.0,school_bus,< 5
538,female,group E,bachelor's degree,free/reduced,completed,single,never,no,4.0,private,5 - 10
540,male,group B,high school,free/reduced,none,married,regularly,yes,6.0,private,< 5
543,male,group A,bachelor's degree,standard,none,married,never,yes,1.0,school_bus,5 - 10
548,male,group A,some college,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10
549,female,group B,high school,standard,none,married,sometimes,yes,1.0,school_bus,< 5
550,female,group B,some college,free/reduced,completed,single,sometimes,no,1.0,school_bus,> 10
551,female,group D,master's degree,standard,none,married,regularly,no,3.0,school_bus,< 5
552,female,group D,some high school,standard,none,married,sometimes,no,2.0,school_bus,< 5
